,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
18240,2006,Texas,19.0,8790,Brazoria County,216.1547212741752,Policy
18241,2004,Texas,19.0,1768,Brazoria County,1074.6606334841629,Policy
18242,2002,Texas,19.0,7668,Brazoria County,247.7829942618675,Policy
18243,2000,Texas,19.0,37674,Brazoria County,50.4326591283113,Policy
18244,2019,Texas,15.0,11931,Brazoria County,125.72290671360321,Policy
18245,2015,Texas,15.0,17891,Brazoria County,83.84103739310268,Policy
18246,2013,Texas,15.0,93487,Brazoria County,16.045011605891727,Policy
18247,2011,Texas,15.0,319973,Brazoria County,4.687895541186288,Policy
18248,2009,Texas,15.0,191434,Brazoria County,7.835598691977392,Policy
18249,2007,Texas,15.0,8843,Brazoria County,169.62569263824494,Policy
18250,2005,Texas,15.0,1726,Brazoria County,869.061413673233,Policy
18251,2003,Texas,15.0,7627,Brazoria County,196.6697259735151,Policy
18252,2001,Texas,15.0,37599,Brazoria County,39.89467804994813,Policy
18253,1999,Texas,15.0,16160,Brazoria County,92.82178217821782,Policy
18254,2019,Texas,12.0,11931,Brazoria County,100.57832537088258,Policy
18255,2015,Texas,12.0,17891,Brazoria County,67.07282991448214,Policy
18256,2013,Texas,12.0,93487,Brazoria County,12.83600928471338,Policy
18257,2011,Texas,12.0,319973,Brazoria County,3.7503164329490297,Policy
18258,2009,Texas,12.0,191434,Brazoria County,6.268478953581913,Policy
18259,2007,Texas,12.0,8843,Brazoria County,135.70055411059596,Policy
18260,2005,Texas,12.0,1726,Brazoria County,695.2491309385863,Policy
18261,2003,Texas,12.0,7627,Brazoria County,157.3357807788121,Policy
18262,2001,Texas,12.0,37599,Brazoria County,31.91574243995851,Policy
18263,1999,Texas,12.0,16160,Brazoria County,74.25742574257426,Policy
18264,2020,Texas,10.0,12269,Brazoria County,81.50623522699486,Policy
18265,2016,Texas,10.0,18097,Brazoria County,55.25777753218765,Policy
18266,2014,Texas,10.0,93275,Brazoria County,10.720986330742429,Policy
18267,2012,Texas,10.0,324769,Brazoria County,3.079111614716922,Policy
18268,2010,Texas,10.0,194851,Brazoria County,5.132126599298951,Policy
18269,2008,Texas,10.0,8868,Brazoria County,112.76499774470004,Policy
18270,2006,Texas,10.0,1704,Brazoria County,586.8544600938967,Policy
18271,2004,Texas,10.0,7593,Brazoria County,131.70025023047543,Policy
18272,2002,Texas,10.0,37766,Brazoria County,26.47884340412011,Policy
18273,2000,Texas,10.0,16470,Brazoria County,60.71645415907712,Policy
18274,2020,Texas,20.0,12269,Brazoria County,163.01247045398972,Policy
18275,2016,Texas,20.0,18097,Brazoria County,110.5155550643753,Policy
18276,2014,Texas,20.0,93275,Brazoria County,21.441972661484858,Policy
18277,2012,Texas,20.0,324769,Brazoria County,6.158223229433844,Policy
18278,2010,Texas,20.0,194851,Brazoria County,10.264253198597903,Policy
18279,2008,Texas,20.0,8868,Brazoria County,225.52999548940008,Policy
18280,2006,Texas,20.0,1704,Brazoria County,1173.7089201877934,Policy
18281,2004,Texas,20.0,7593,Brazoria County,263.40050046095087,Policy
18282,2002,Texas,20.0,37766,Brazoria County,52.95768680824022,Policy
18283,2000,Texas,20.0,16470,Brazoria County,121.43290831815423,Policy
18284,2019,Texas,17.0,654,Brazoria County,2599.3883792048928,Policy
18285,2017,Texas,17.0,18326,Brazoria County,92.7643784786642,Policy
18286,2015,Texas,17.0,93389,Brazoria County,18.203428669329366,Policy
18287,2013,Texas,17.0,330242,Brazoria County,5.147740142077628,Policy
18288,2011,Texas,17.0,197632,Brazoria County,8.60184585492228,Policy
18289,2009,Texas,17.0,9054,Brazoria County,187.76231499889553,Policy
18290,2007,Texas,17.0,1647,Brazoria County,1032.179720704311,Policy
18291,2005,Texas,17.0,7562,Brazoria County,224.808251785242,Policy
18292,2003,Texas,17.0,37654,Brazoria County,45.14792585117119,Policy
18293,2001,Texas,17.0,16650,Brazoria County,102.10210210210211,Policy
18294,1999,Texas,17.0,33017,Brazoria County,51.488627070902865,Policy
