,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
37992,2002,Iowa,5.0,9791,,51.067306710244104,Control
37993,2000,Iowa,5.0,8016,,62.375249500998,Control
37994,2019,Iowa,5.0,8600,,58.13953488372093,Control
37995,2017,Iowa,5.0,11792,,42.40162822252375,Control
37996,2015,Iowa,5.0,15753,,31.739986034406147,Control
37997,2013,Iowa,5.0,22417,,22.30450104831155,Control
37998,2011,Iowa,5.0,33335,,14.999250037498125,Control
37999,2009,Iowa,5.0,40280,,12.413108242303872,Control
38000,2007,Iowa,5.0,15239,,32.81055187348252,Control
38001,2005,Iowa,5.0,10800,,46.2962962962963,Control
38002,2003,Iowa,5.0,9819,,50.921682452388225,Control
38003,2001,Iowa,5.0,7986,,62.60956674179815,Control
38004,1999,Iowa,5.0,11767,,42.49171411574743,Control
38005,2020,Iowa,5.0,8518,,58.699225170227756,Control
38006,2018,Iowa,5.0,11811,,42.33341800016933,Control
38007,2016,Iowa,5.0,15848,,31.54972236244321,Control
38008,2014,Iowa,5.0,22370,,22.351363433169425,Control
38009,2012,Iowa,5.0,33419,,14.9615488195338,Control
38010,2010,Iowa,5.0,40648,,12.300728203109625,Control
38011,2008,Iowa,5.0,15214,,32.86446693834626,Control
38012,2006,Iowa,5.0,10836,,46.142488002953115,Control
38013,2004,Iowa,5.0,9681,,51.64755707055056,Control
38014,2002,Iowa,5.0,7887,,63.39546088500064,Control
38015,2000,Iowa,5.0,11771,,42.47727465805794,Control
38016,2019,Iowa,5.0,11755,,42.53509145044662,Control
38017,2017,Iowa,5.0,16013,,31.224629988134637,Control
38018,2015,Iowa,5.0,22324,,22.397419817237054,Control
38019,2013,Iowa,5.0,33252,,15.03668952243474,Control
38020,2011,Iowa,5.0,40980,,12.201073694485116,Control
38021,2009,Iowa,5.0,15056,,33.209351753453774,Control
38022,2007,Iowa,5.0,10812,,46.24491305956345,Control
38023,2005,Iowa,5.0,9566,,52.26845076311938,Control
38024,2003,Iowa,5.0,7954,,62.861453356801604,Control
38025,2001,Iowa,5.0,11509,,43.44426101312017,Control
38026,1999,Iowa,5.0,41587,,12.022987952966071,Control
38027,2020,Iowa,5.0,11756,,42.53147329023477,Control
38028,2018,Iowa,5.0,16249,,30.77112437688473,Control
38029,2016,Iowa,5.0,22181,,22.54181506694919,Control
38030,2014,Iowa,5.0,33365,,14.98576352465158,Control
38031,2012,Iowa,5.0,40857,,12.237805027290305,Control
38032,2010,Iowa,5.0,15059,,33.20273590543861,Control
38033,2008,Iowa,5.0,10815,,46.23208506703652,Control
38034,2006,Iowa,5.0,9479,,52.74818018778352,Control
38035,2004,Iowa,5.0,7969,,62.743129627305805,Control
38036,2002,Iowa,5.0,11313,,44.196941571643244,Control
38037,2000,Iowa,5.0,41722,,11.984085134940798,Control
38038,2019,Iowa,5.0,16338,,30.603501040519035,Control
38039,2017,Iowa,5.0,22235,,22.4870699347875,Control
38040,2015,Iowa,5.0,33294,,15.017720910674596,Control
38041,2013,Iowa,5.0,40994,,12.196906864419184,Control
38042,2011,Iowa,5.0,14992,,33.351120597652084,Control
38043,2009,Iowa,5.0,10763,,46.455449224194,Control
38044,2007,Iowa,5.0,9423,,53.06165764618487,Control
38045,2005,Iowa,5.0,7955,,62.85355122564425,Control
38046,2003,Iowa,5.0,11211,,44.599054500044595,Control
